title,description,thumbnailUrl,videoAddedToPlaylistAt,videoPublishedAt,playlistHostedChannelName,videoOwnerTitle,videoOwnerChannelId,videoId,videoUrl,videotags,categoryId,defaultAudioLanguage,viewCount,likeCount,favoriteCount,videoCommentCount,videoDuration
Paradise,"Provided to YouTube by Parlophone UK

Paradise · Coldplay

Mylo Xyloto

℗ 2011 Parlophone Records Ltd, a Warner Music Group Company

Unknown: Bob Ludwig
Assistant: Andrew Denny
Assistant: Andy Rugg
Keyboards: Brian Eno
Acoustic  Guitar: Chris Martin
Keyboards, Piano: Chris Martin
Lead  Vocals: Chris Martin
Assistant: Christian Green
Unknown: Daniel Green
Unknown: Daniel Green
Producer: Daniel Green
Programmer: Daniel Green
Assistant: David Emery
Strings: Davide Rossi
Assistant: Deepu Panjwani
Instrumentation: Fedde Le Grand
Backing  Vocals: GKPM
Bass  Guitar: Guy Berryman
Keyboards: Guy Berryman
Backing  Vocals: Guy Berryman
Assistant: Hidefumi Ohbuchi
Assistant: Ian Shea
Assistant: Ian Sylvester
Technician: Jon Hopkins
Guitar, Keyboards: Jonny Buckland
Electric  Guitar: Jonny Buckland
Backing  Vocals: Jonny Buckland
Drums: Luis Jardim
Unknown: Mark ""Spike"" Stent
Unknown: Markus Dravs
Producer: Markus Dravs
Programmer: Markus Dravs
Coach  Vocals: Mary Hammond
Assistant: Matt McGinn
Assistant: Matt Miller
Assistant: Matty Green
Unknown: Michael H. Brauer
Assistant: Noah Goldstein
Assistant: Nobuyuki Murakami
Unknown: Olga Fitzroy
Assistant: Pierre Eiras
Vocals: Rihanna
Unknown: Rik Simpson
Unknown: Rik Simpson
Unknown: Rik Simpson
Producer: Rik Simpson
Backing  Vocals: Rik Simpson
Unknown: Robin Baynton
Unknown: Robin Baynton
Programmer: Robin Baynton
Additional  Production: Robin M. Christopher
Cello: Rosie Danvers
Assistant: Ryan Gilligan
Assistant: Tim Crompton
Backing  Vocals: Tim Wheeler
Drums: Will Champion
Percussion: Will Champion
Backing  Vocals: Will Champion
Writer: Brian Eno
Writer: Chris Martin
Writer: Guy Berryman
Writer: Jonny Buckland
Writer: Will Champion

Auto-generated by YouTube.",https://i.ytimg.com/vi/Q0TEUMPIhk8/default.jpg,2022-11-09T20:29:56Z,2015-11-18T18:45:26Z,Cara Gray,Coldplay - Topic,UCIaFw5VBEK8qaW6nRpx_qnw,Q0TEUMPIhk8,https://www.youtube.com/watch?v=Q0TEUMPIhk8,"Coldplay,Mylo Xyloto,Paradise",10,Not Present,104227683,960578,0,1507,PT4M39S
Arcade,"Provided to YouTube by Universal Music Group

Arcade · Duncan Laurence

Arcade

℗ 2019 Spark Records B.V., under exclusive license to Universal Music, a division of Universal International Music B.V.

Released on: 2019-03-07

Producer, Studio  Personnel, Engineer, Associated  Performer, Drums, Piano, Bass  Guitar, Music  Production, Background  Vocalist: Wouter Hardy
Producer, Co- Producer, Associated  Performer, Guitar: Oscar Holleman
Studio  Personnel, Mixer: Cenzo Townshend
Studio  Personnel, Mastering  Engineer: Frank Arkwright
Associated  Performer, Vocals, Background  Vocalist: Duncan Laurence
Associated  Performer, Drums: Teun van Zoggel
Associated  Performer, Background  Vocalist: Sofia Ferri
Associated  Performer, Cello: Susanne Rosmolen
Associated  Performer, Violin: Yannick Hiwat
Composer  Lyricist: Duncan Laurence
Composer  Lyricist: Wouter Hardy
Composer  Lyricist: Joel Sjöö
Composer  Lyricist: Will Knox

Auto-generated by YouTube.",https://i.ytimg.com/vi/oFrvRiixXcA/default.jpg,2022-11-09T20:29:56Z,2019-03-06T10:18:08Z,Cara Gray,Duncan Laurence - Topic,UCBa6lSIB_gX6IuOQlrqRvkg,oFrvRiixXcA,https://www.youtube.com/watch?v=oFrvRiixXcA,"Duncan Laurence,Arcade",10,Not Present,124058953,1636615,0,5466,PT3M4S
Home,"Provided to YouTube by Ingrooves

Home · Edith Whiskers

Home

℗ 2020 Tinpot Records

Released on: 2020-10-16

Composer, Writer: Jade Castrinos
Composer, Writer: Alex Ebert

Auto-generated by YouTube.",https://i.ytimg.com/vi/sPV_t8YMW_k/default.jpg,2022-11-09T20:29:56Z,2020-10-15T10:08:24Z,Cara Gray,Edith Whiskers - Topic,UC1rutLZjmnPqrpx9dHH_BWg,sPV_t8YMW_k,https://www.youtube.com/watch?v=sPV_t8YMW_k,"Edith Whiskers,Home",10,Not Present,66327382,874987,0,1090,PT3M16S
Bored,"Provided to YouTube by Universal Music Group

Bored · Billie Eilish

Bored

℗ 2017 Darkroom/Interscope Records

Released on: 2017-03-30

Producer: Finneas O'Connell
Composer  Lyricist: Finneas O'Connell
Composer  Lyricist: Billie Eilish O'Connell
Composer  Lyricist: Aron Forbes
Composer  Lyricist: Tim Anderson

Auto-generated by YouTube.",https://i.ytimg.com/vi/WkXpvoyVz5E/default.jpg,2022-11-09T20:29:56Z,2018-07-23T15:22:39Z,Cara Gray,Billie Eilish - Topic,UCERrDZ8oN0U_n9MphMKERcg,WkXpvoyVz5E,https://www.youtube.com/watch?v=WkXpvoyVz5E,"Billie Eilish,ビリーアイリッシュ,ビリー・アイリッシュ,Bored",10,Not Present,44730417,532741,0,333,PT3M1S
Someone New,"Provided to YouTube by Universal Music Group

Someone New · Hozier

Hozier

℗ 2014 Rubyworks Limited, under assignment to Island Records, a division of Universal Music Operations Limited

Released on: 2014-07-20

Producer, Co- Producer, Associated  Performer, Vocals: Hozier
Producer, Co- Producer: Rob Kirwan
Associated  Performer, Drums: Rory Doyle
Associated  Performer, Bass  Guitar: Alex Ryan
Associated  Performer, Cello: Kate Ellis
Associated  Performer, Viola: Ken Rice
Studio  Personnel, Mixer: Andrew Scheps
Composer  Lyricist: Andrew Hozier-Byrne
Composer  Lyricist: Sallay Matu Garnett

Auto-generated by YouTube.",https://i.ytimg.com/vi/Sy6-NuS-zp4/default.jpg,2022-11-09T20:29:56Z,2018-07-26T02:26:09Z,Cara Gray,Hozier - Topic,UCA3Zs9A2IeetfGT3Omi9ivw,Sy6-NuS-zp4,https://www.youtube.com/watch?v=Sy6-NuS-zp4,"Hozier,ホージア,Someone New,サムワン・ニュー",10,Not Present,1752153,19965,0,6,PT3M43S
Take Me To Church,"Provided to YouTube by Universal Music Group

Take Me To Church · Hozier

Hozier

℗ 2014 Rubyworks Limited, under assignment to Island Records, a division of Universal Music Operations Limited

Released on: 2014-07-20

Producer, Co- Producer, Associated  Performer, Vocals: Hozier
Producer, Co- Producer: Rob Kirwan
Associated  Performer, Drums: FIACHRA KINDER
Studio  Personnel, Mixer: Rob Kirwan
Composer  Lyricist: Andrew Hozier-Byrne

Auto-generated by YouTube.",https://i.ytimg.com/vi/JKlYOUfviXM/default.jpg,2022-11-09T20:29:56Z,2018-07-26T02:50:43Z,Cara Gray,Hozier - Topic,UCA3Zs9A2IeetfGT3Omi9ivw,JKlYOUfviXM,https://www.youtube.com/watch?v=JKlYOUfviXM,"Hozier,ホージア,Take Me To Church,Ｔａｋｅ,Ｍｅ,Ｔｏ,Ｃｈｕｒｃｈ",10,Not Present,75067534,754952,0,189,PT4M2S
deja vu,"Provided to YouTube by Universal Music Group

deja vu · Olivia Rodrigo

SOUR

℗ 2021 Olivia Rodrigo, under exclusive license to Geffen Records

Released on: 2021-05-21

Producer, Studio  Personnel, Recording  Engineer, Associated  Performer, Acoustic  Guitar, Electric  Guitar, Bass, Drum  Programming, Background  Vocalist, Wurlitzer  Electric  Piano, Percussion: Daniel Nigro
Studio  Personnel, Asst.  Recording  Engineer: Dan Viafore
Studio  Personnel, Mixer: Mitch McCarthy
Studio  Personnel, Mastering  Engineer: Randy Merrill
Associated  Performer, Guitar, Organ: Jam City
Associated  Performer, Flute, Saxophone: Ryan Linvill
Associated  Performer, Drums: Sterling Laws
Studio  Personnel, Additional  Engineer: Chris Kaysch
Studio  Personnel, Additional  Engineer: Jasmine Chen
Composer  Lyricist: Daniel Nigro
Composer  Lyricist: Olivia Rodrigo
Composer  Lyricist: Taylor Swift
Composer  Lyricist: Jack Antonoff
Composer  Lyricist: Annie Clark

Auto-generated by YouTube.",https://i.ytimg.com/vi/pHw5jgsE_pY/default.jpg,2022-11-09T20:29:56Z,2021-05-20T10:03:17Z,Cara Gray,Olivia Rodrigo - Topic,UCE5XNpliPM-SmyFEp61tL_g,pHw5jgsE_pY,https://www.youtube.com/watch?v=pHw5jgsE_pY,"Olivia Rodrigo,オリビアロドリゴ,オリヴィア・ロドリゴ,SOUR,deja vu,デジャブ",10,Not Present,60710830,605754,0,59,PT3M36S
Paper Planes,"Provided to YouTube by Beggars Group Digital Ltd.

Paper Planes · M.I.A.

Kala

℗ 2007 XL Recordings Ltd

Released on: 2007-08-20

Producer: Dave Taylor
Producer: Maya Arulpragasam
Associated  Performer: Maya Arulpragasam
Producer: Wesley Pentz
Music  Publisher: CMRRA
Music  Publisher: Imagem Music
Music  Publisher: Universal Music Publishing Group
Music  Publisher: Universal Music Publishing Ltd.
Music  Publisher: Kobalt Music Publishing
Music  Publisher: Songs Music Publishing LLC
Composer  Lyricist: Joe Strummer
Composer  Lyricist: Maya Arulpragasam
Composer  Lyricist: Mick Jones
Composer  Lyricist: Nick Headon
Composer  Lyricist: Paul Simonon
Composer  Lyricist: Wesley Pentz

Auto-generated by YouTube.",https://i.ytimg.com/vi/W_K0hemcU5o/default.jpg,2022-11-09T20:29:56Z,2016-04-08T00:29:30Z,Cara Gray,M.I.A. - Topic,UCaPHikQGkyaAoH_zwrZmY1w,W_K0hemcU5o,https://www.youtube.com/watch?v=W_K0hemcU5o,"M.I.A.,Kala,Paper Planes",10,Not Present,57915142,716152,0,1506,PT3M26S
Brother,"Provided to YouTube by B-Unique/RCA

Brother · Kodaline

Politics of Living

℗ 2017 B-Unique Records (UK) Limited under exclusive licence to Sony Music Entertainment UK Limited

Released on: 2018-09-28

Programmer, Composer, Lyricist: Jon Maguire
Background  Vocal, Vocal: Steve Garrigan
Composer, Lyricist: Corey Sanders
Background  Vocal, Guitar, Piano, Strings, Composer, Lyricist: Mark Prendergast
Background  Vocal, Drums, Percussion: Vinny May
Strings, Composer, Lyricist: Alex Davies
Background  Vocal, Bass, Composer, Lyricist: Jason Boland
Composer, Lyricist: Stephen Garrigan
Composer, Lyricist: Vincent May, Jr.
Strings, Producer: Stephen Harris
Keyboards, Programmer: Ben Ash
Producer: Two Inch Punch
Mixing  Engineer: Mark Stent
Assistant  Engineer: Michael Freeman
Mastering  Engineer: Stuart Hawkes

Auto-generated by YouTube.",https://i.ytimg.com/vi/Mh8zwBK1obQ/default.jpg,2022-11-09T20:29:56Z,2018-09-11T17:27:06Z,Cara Gray,Kodaline - Topic,UC0cymQddFci7e31o7EIznYw,Mh8zwBK1obQ,https://www.youtube.com/watch?v=Mh8zwBK1obQ,"Kodaline,Politics of Living,Brother",10,Not Present,14256351,192944,0,121,PT3M24S
As It Was,"Provided to YouTube by Columbia

As It Was · Harry Styles

As It Was

℗ 2022 Erskine Records Limited, under exclusive license to Columbia Records, a Division of Sony Music Entertainment

Released on: 2022-03-31

Bass, Bass  Guitar, Drum  Machine, Drums, Electric  Guitar, Synthesizer, Composer, Lyricist, Producer: Kid Harpoon
Drums: Mitch Rowland
Drum  Machine, Piano, Synthesizer, Composer, Lyricist, Producer: Tyler Johnson
Electric  Guitar, Percussion: Doug Showalter
Programmer, Recording  Engineer: Jeremy Hatcher
Other: Ruby Winston
Assistant  Engineer: Katie May
Assistant  Engineer: Luke Gibbs
Assistant  Engineer: Adele Phillips
Assistant  Engineer: Josh Caulder
Assistant  Engineer: Joe Dougherty
Mixing  Engineer: Spike Stent
Assistant  Engineer: Matt Wolach
Mastering  Engineer: Randy Merrill

Auto-generated by YouTube.",https://i.ytimg.com/vi/wa5gkHMqbls/default.jpg,2022-11-09T20:29:56Z,2022-03-31T23:02:22Z,Cara Gray,Harry Styles - Topic,UCVacQ2t5GUZ2t_J3Ia9BynA,wa5gkHMqbls,https://www.youtube.com/watch?v=wa5gkHMqbls,"Harry Styles,As It Was",10,Not Present,56241760,948976,0,66,PT2M48S
Hold Me While You Wait,"Provided to YouTube by Universal Music Group

Hold Me While You Wait · Lewis Capaldi

Divinely Uninspired To A Hellish Extent

℗ A Vertigo Berlin recording; ℗ 2019 Universal Music GmbH

Released on: 2019-05-17

Producer: Lewis Capaldi
Producer: Nick Atkinson
Producer: Edward Holloway
Producer: TMS
Studio  Personnel, Mixer: Mark 'Spike' Stent
Studio  Personnel, Mastering  Engineer: Robert Vosgien
Composer  Lyricist: Lewis Capaldi
Composer  Lyricist: Jamie Hartman
Composer  Lyricist: Jamie N Commons

Auto-generated by YouTube.",https://i.ytimg.com/vi/arj4BDdz6qc/default.jpg,2022-11-09T20:29:56Z,2019-05-16T10:04:53Z,Cara Gray,Lewis Capaldi - Topic,UCxrxwFTBU3DTJ9Y5TKeW7KA,arj4BDdz6qc,https://www.youtube.com/watch?v=arj4BDdz6qc,"Lewis Capaldi,ルイスキャパルディ,ルイス・キャパルディ,Divinely Uninspired To A Hellish Extent,Hold Me While You Wait,ホールドミーワイルユーウェイト",10,Not Present,59912356,470636,0,1134,PT3M26S
good 4 u,"Provided to YouTube by Universal Music Group

good 4 u · Olivia Rodrigo

SOUR

℗ 2021 Olivia Rodrigo, under exclusive license to Geffen Records

Released on: 2021-05-21

Producer, Studio  Personnel, Recording  Engineer, Associated  Performer, Acoustic  Guitar, Electric  Guitar, Bass, Drum  Programming, Background  Vocalist, Synthesizer: Daniel Nigro
Producer, Co- Producer, Associated  Performer, Electric  Guitar, Bass, Drum  Programming, Background  Vocalist: Alexander 23
Studio  Personnel, Asst.  Recording  Engineer: Ryan Linvill
Studio  Personnel, Mixer: Mitch McCarthy
Studio  Personnel, Mastering  Engineer: Randy Merrill
Composer  Lyricist: Olivia Rodrigo
Composer  Lyricist: Daniel Nigro
Composer  Lyricist: Josh Farro
Composer  Lyricist: Hayley Williams

Auto-generated by YouTube.",https://i.ytimg.com/vi/Bc9ijogGmtU/default.jpg,2022-11-09T20:29:56Z,2021-05-20T10:02:36Z,Cara Gray,Olivia Rodrigo - Topic,UCE5XNpliPM-SmyFEp61tL_g,Bc9ijogGmtU,https://www.youtube.com/watch?v=Bc9ijogGmtU,"Olivia Rodrigo,オリビアロドリゴ,オリヴィア・ロドリゴ,SOUR,good 4 u,グッドフォーユー",10,Not Present,112874785,1141837,0,92,PT2M59S
drivers license,"Provided to YouTube by Universal Music Group

drivers license · Olivia Rodrigo

SOUR

℗ 2021 Olivia Rodrigo, under exclusive license to Geffen Records

Released on: 2021-05-21

Producer, Studio  Personnel, Recording  Engineer, Associated  Performer, Piano, Bass, Percussion, Drum  Programming, Synthesizer, Background  Vocalist: Daniel Nigro
Studio  Personnel, Mixer: Mitch McCarthy
Studio  Personnel, Mastering  Engineer: Randy Merrill
Studio  Personnel, Asst.  Recording  Engineer: Dan Viafore
Composer  Lyricist: Olivia Rodrigo
Composer  Lyricist: Daniel Nigro

Auto-generated by YouTube.",https://i.ytimg.com/vi/l0txe6yk8Kc/default.jpg,2022-11-09T20:29:56Z,2021-05-20T10:02:42Z,Cara Gray,Olivia Rodrigo - Topic,UCE5XNpliPM-SmyFEp61tL_g,l0txe6yk8Kc,https://www.youtube.com/watch?v=l0txe6yk8Kc,"Olivia Rodrigo,オリビアロドリゴ,オリヴィア・ロドリゴ,SOUR,drivers license,ドライバーズライセンス",10,Not Present,52775244,558840,0,37,PT4M3S
